Fullname,Nationality,Age,Club,Caps,Goals,Date Joined,Contract Ends,,Birthsday,Start year,Best position,Goalkeeper,Defender Central,Defender Right,Defender Left,Wingback right,Wingback left,Defensive midfielder,Midfielder Central,Midfielder right,Midfielder left,Attacking Midfielder Central,Attacking Midfielder right,Attacking Midfielder left,Center Forward,Right Forward,Left Forward,Goalkeeper,Sweeper,Defender,Defensive midfield,Midfield Center,Support,Attack,Right,Left,Centre,Ability,Potential,Reputation,Big Occasion,Character,Consistency,Technique,Passing,Heading,Shooting,Flair,Dribbling,Tackling,Stamina,Strenght,Pace,Jumping,Inj Prone %,Set Pieces,Positioning,Off The Ball,Marking,Creativity,Adaptability,Aggression,Determination,Dirtyness,Influence
Silvio Rudman,Argentina,27,Free Transfer,0,0,,,,3-5-1969,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,2,1,1,2,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo Gomes,Brazil,26,Free Transfer,0,0,,,,1-1-1970,01-07-1996,,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,2,162,162,150,18,15,16,70,70,80,50,65,55,75,55,75,30,0,40,70,65,65,70,45,100,85,65,90,85
Lee Sharp,England,19,Free Transfer,0,0,,,,18-12-1976,01-07-1996,,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Sharpe,England,20,Free Transfer,0,0,,,,9-8-1975,01-07-1996,,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
Graham Shaw,England,29,Free Transfer,0,0,,,,7-6-1967,01-07-1996,,0,0,0,0,0,0,0,0,0,0,50,0,0,100,0,0,0,0,0,0,0,1,2,0,0,2,62,96,34,0,10,9,50,40,40,60,75,70,10,35,15,0,0,50,55,70,50,45,0,50,5,30,10,55
Peter Shearer,England,29,Free Transfer,0,0,,,,4-2-1967,01-07-1996,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,113,133,93,13,6,12,40,50,85,75,50,30,60,70,55,80,0,60,60,40,35,65,45,30,60,55,65,65
James Sheppard,England,20,Free Transfer,0,0,,,,18-9-1975,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon Sheppard,England,22,Free Transfer,0,0,,,,7-8-1973,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,107,122,77,0,8,8,45,70,65,5,5,5,80,60,85,60,0,25,5,75,0,0,55,55,50,45,20,50
Paul Sherlock,England,22,Free Transfer,0,0,,,,17-11-1973,01-07-1996,,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,85
Phil Shore,England,27,Free Transfer,0,0,,,,1-2-1969,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,42,138,10,0,14,5,45,35,45,0,0,0,45,70,35,55,0,75,5,65,0,0,65,70,80,0,50,30
Malcolm Shotton,England,39,Free Transfer,0,0,,,,16-2-1957,01-07-1996,,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,20,103,1,19,2,17,30,25,75,10,5,5,75,50,50,0,0,60,5,100,15,30,10,60,60,85,60,100
Darren Simkin,England,26,Free Transfer,0,0,,,,24-3-1970,01-07-1996,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,20,20,10,20,10,14,10,50,55,5,20,10,20,15,75,0,0,15,15,60,35,5,5,20,15,15,50,60
Sergio Gomes,Brazil,26,Free Transfer,0,0,,,,27-7-1969,01-07-1996,,0,0,0,0,0,0,0,0,0,0,50,0,0,100,0,0,0,0,0,0,0,1,2,0,0,2,125,0,100,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Danny Simmonds,England,21,Free Transfer,0,0,,,,17-12-1974,01-07-1996,,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,90,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colin Simpson,England,20,Free Transfer,0,0,,,,30-4-1976,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elliott Simpson,England,20,Free Transfer,0,0,,,,1-7-1976,01-07-1996,,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,55,0,30,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
Gary Simpson,England,20,Free Transfer,0,0,,,,14-2-1976,01-07-1996,,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,75,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Skedd,England,21,Free Transfer,0,0,,,,19-5-1975,01-07-1996,,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,1,0,1,0,1,0,50,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Skelly,England,24,Free Transfer,0,0,,,,24-3-1972,01-07-1996,,0,50,0,50,0,0,0,50,0,50,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,40,0,15,0,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
Justin Skinner,England,23,Free Transfer,0,0,,,,17-9-1972,01-07-1996,,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,62,0,4,5,15,10,60,15,20,20,70,10,50,0,0,45,40,45,10,60,0,60,55,65,10,10
Terry Skiverton,England,21,Free Transfer,0,0,,,,20-6-1975,01-07-1996,,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,13,0,0,0,0,0,85,0,0,0,0,0,0,55,0,0,0,0,0,0,0,80,0,0,0,0
Gary Smart,England,32,Free Transfer,0,0,,,,29-4-1964,01-07-1996,,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,75,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Smith,England,19,Free Transfer,0,0,,,,3-1-1977,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,0,24,10,1,1,5,5,5,5,5,5,5,5,5,5,55,0,5,5,5,5,5,5,5,5,5,5,5
 Helcinho,Brazil,26,Free Transfer,0,0,,,,3-4-1970,01-07-1996,,0,0,0,0,0,0,0,100,100,0,100,100,0,0,0,0,0,0,0,0,2,2,0,2,0,2,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
Mark Smith,England,23,Free Transfer,0,0,,,,2-1-1973,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,70,70,55,11,11,14,20,25,15,10,15,5,75,40,25,65,0,50,5,20,5,10,0,55,100,40,50,45
Nicky Smith,England,27,Free Transfer,0,0,,,,28-1-1969,01-07-1996,,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,0,1,0,1,1,0,0,80,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Smith,England,21,Free Transfer,0,0,,,,6-3-1975,01-07-1996,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,80,130,50,0,6,8,35,25,45,35,35,30,60,55,55,0,0,55,35,55,15,40,40,40,40,45,40,55
Tommy Smith,England,18,Free Transfer,0,0,,,,25-11-1977,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,12,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Smith,England,24,Free Transfer,0,0,,,,21-9-1971,01-07-1996,,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,80,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Smithard,England,20,Free Transfer,0,0,,,,13-6-1976,01-07-1996,,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
Glynn Snodin,England,36,Free Transfer,0,0,,,,14-2-1960,01-07-1996,,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,94,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Snodin,England,32,Free Transfer,0,0,,,,15-8-1963,01-07-1996,,0,100,100,0,100,0,100,100,100,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,0,2,115,144,100,0,0,14,50,50,30,20,20,15,85,60,35,0,0,75,50,90,70,80,40,75,80,95,85,80
Trevor Snowden,England,22,Free Transfer,0,0,,,,4-10-1973,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,1,0,1,0,50,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Sollitt,England,19,Free Transfer,0,0,,,,22-6-1977,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magalhaes Da Silva Isaias,Brazil,22,Free Transfer,0,0,,,,29-11-1973,01-07-1996,,0,0,0,0,0,50,50,100,0,100,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,125,150,110,0,0,7,80,85,45,90,0,75,0,0,0,75,0,0,95,0,0,0,80,60,0,0,100,0
Jason Soloman,England,25,Free Transfer,0,0,,,,6-10-1970,01-07-1996,,0,100,0,100,0,100,100,100,0,100,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,2,80,138,52,8,14,9,25,20,50,20,10,15,85,75,60,0,0,45,15,55,35,80,15,70,65,65,60,75
Tony Sorrell,England,29,Free Transfer,0,0,,,,17-10-1966,01-07-1996,,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,50,0,25,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
Nicky Southall,England,24,Free Transfer,0,0,,,,28-1-1972,01-07-1996,,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,50,0,0,0,0,1,1,1,0,1,0,115,0,90,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie Speare,England,19,Free Transfer,0,0,,,,5-11-1976,01-07-1996,,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
Tony Spearing,England,31,Free Transfer,0,0,,,,7-10-1964,01-07-1996,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,90,90,67,0,8,11,35,60,30,5,20,25,80,70,35,0,0,55,45,30,25,35,45,40,85,90,65,85
Martyn Speight,England,17,Free Transfer,0,0,,,,26-7-1978,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
Steve Spooner,England,35,Free Transfer,0,0,,,,25-1-1961,01-07-1996,,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,50,0,25,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
Chris Stabb,England,19,Free Transfer,0,0,,,,12-10-1976,01-07-1996,,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,80
Paul Stancliffe,England,38,Free Transfer,0,0,,,,5-5-1958,01-07-1996,,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,75,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Stanislaus,England,27,Free Transfer,0,0,,,,2-11-1968,01-07-1996,,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,87,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Joilton,Brazil,26,Free Transfer,0,0,,,,18-12-1969,01-07-1996,,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon Stapleton,England,27,Free Transfer,0,0,,,,10-12-1968,01-07-1996,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,68,68,38,6,14,8,25,25,30,50,15,40,60,60,35,0,0,70,25,75,40,55,50,30,55,55,65,65
Philip Starbuck,England,27,Free Transfer,0,0,,,,24-11-1968,01-07-1996,,0,0,0,0,0,0,0,100,100,0,100,100,0,100,100,0,0,0,0,0,2,2,2,2,0,2,80,80,30,13,10,5,45,35,10,50,70,95,25,35,15,45,0,55,40,25,55,5,65,55,15,15,55,15
Wayne Stark,England,19,Free Transfer,0,0,,,,14-10-1976,01-07-1996,,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Statham,England,20,Free Transfer,0,0,,,,11-11-1975,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,30,56,10,11,5,8,50,20,15,5,5,5,60,75,35,0,0,70,5,55,5,5,50,40,30,30,35,40
Carl Stead,England,24,Free Transfer,0,0,,,,3-9-1971,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
Tim Steele,England,29,Free Transfer,0,0,,,,1-2-1967,01-07-1996,,0,0,0,0,0,0,0,0,50,50,0,0,0,0,50,50,0,0,0,0,1,0,1,1,1,0,75,0,50,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
Levi Stephen,England,22,Free Transfer,0,0,,,,19-3-1974,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
Worrell Sterling,England,31,Free Transfer,0,0,,,,8-6-1965,01-07-1996,,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,1,0,1,0,1,0,94,0,69,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Steven,England,32,Free Transfer,36,4,,,,21-9-1963,01-07-1996,,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,2,2,0,2,1,2,138,164,108,18,0,12,75,65,50,50,70,70,50,100,50,0,0,50,70,60,70,70,80,85,30,50,20,80
Shaun Stevens,England,20,Free Transfer,0,0,,,,8-3-1976,01-07-1996,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,64,115,29,9,4,6,15,35,30,35,30,25,60,40,25,0,0,40,30,45,60,50,30,75,40,50,35,25
Josemildo Josa,Brazil,20,Free Transfer,0,0,,,,19-3-1976,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Stevenson,England,25,Free Transfer,0,0,,,,1-8-1970,01-07-1996,,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Stock,England,19,Free Transfer,0,0,,,,25-6-1977,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,80,35,0,0,0,0,0,0,0,0,0,0,0,0
Dean Stowe,England,21,Free Transfer,0,0,,,,27-3-1975,01-07-1996,,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee Stratford,England,20,Free Transfer,0,0,,,,11-11-1975,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
Steve Strong,England,18,Free Transfer,0,0,,,,15-3-1978,01-07-1996,,0,0,0,100,0,0,0,0,0,100,0,0,50,0,0,0,0,0,2,0,2,1,0,0,2,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
Perry Suckling,England,30,Free Transfer,0,0,,,,12-10-1965,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,46,109,10,6,8,5,30,45,40,5,5,5,30,50,30,25,0,40,5,20,10,5,0,35,45,50,35,30
Jonathan Sunderland,England,20,Free Transfer,0,0,,,,2-11-1975,01-07-1996,,0,0,0,0,0,0,0,50,50,50,50,50,50,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Sussex,England,32,Free Transfer,0,0,,,,23-1-1964,01-07-1996,,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,0,0,1,0,1,0,0,1,94,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Sutton,England,35,Free Transfer,0,0,,,,16-4-1961,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100,127,72,9,10,9,50,10,30,0,5,5,45,35,40,45,0,30,5,65,0,0,15,30,55,55,60,60
Gary Swann,England,34,Free Transfer,0,0,,,,11-4-1962,01-07-1996,,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,80,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Júlio C?sar,Brazil,22,Free Transfer,0,0,,,,1-1-19        ,01-07-1996,,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Sykes,England,19,Free Transfer,0,0,,,,13-1-1977,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Symons,England,20,Free Transfer,0,0,,,,20-4-1976,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Talboys,England,29,Free Transfer,0,0,,,,18-9-1966,01-07-1996,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,76,112,69,0,14,5,35,30,35,30,15,20,35,60,20,45,0,10,60,40,40,55,0,35,55,65,50,10
Ged Tarpey,England,19,Free Transfer,0,0,,,,28-4-1977,01-07-1996,,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Taylor,England,22,Free Transfer,0,0,,,,1-2-1974,01-07-1996,,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,83,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren Taylor,England,25,Free Transfer,0,0,,,,26-6-1971,01-07-1996,,0,0,0,0,0,0,0,0,0,0,50,0,0,100,0,0,0,0,0,0,0,1,2,0,0,1,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
Jamie Taylor,England,19,Free Transfer,0,0,,,,11-1-1977,01-07-1996,,0,0,0,0,0,0,0,0,0,0,50,0,0,100,0,0,0,0,0,0,0,1,2,0,0,2,56,80,26,10,11,8,60,70,30,70,40,25,25,40,45,0,0,55,45,20,65,35,60,50,50,40,95,45
Mark Taylor,England,31,Free Transfer,0,0,,,,20-11-1964,01-07-1996,,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,2,54,106,34,9,11,12,25,35,55,10,35,35,70,35,45,45,0,40,35,55,50,60,0,40,15,55,40,35
Matthew Taylor,England,20,Free Transfer,0,0,,,,6-3-1976,01-07-1996,,0,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,2,50,128,15,0,0,6,25,30,85,35,25,15,90,80,90,60,0,0,25,80,35,0,20,0,75,0,0,0
Steve Taylor,England,26,Free Transfer,0,0,,,,7-1-1970,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,70,0,40,0,0,8,35,30,85,0,20,15,50,0,90,0,0,20,15,75,60,10,0,30,100,100,70,30
Devanir King,Brazil,26,Free Transfer,0,0,,,,1-7-1970,01-07-1996,,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,125,133,120,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaun Teale,England,32,Free Transfer,0,0,,,,10-3-1964,01-07-1996,,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,110,140,100,15,9,12,25,15,75,5,10,10,85,55,70,70,0,55,10,60,15,95,40,55,85,70,50,75
Paul Teather,England,18,Free Transfer,0,0,,,,26-12-1977,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,34,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Thackeray,England,28,Free Transfer,0,0,,,,13-2-1968,01-07-1996,,0,0,100,0,100,0,0,0,100,0,0,0,0,0,0,0,0,1,2,2,2,0,0,2,0,0,64,94,41,0,2,11,45,40,30,0,70,45,50,75,40,30,0,25,75,5,90,35,55,70,35,50,10,70
Lee Thew,England,21,Free Transfer,0,0,,,,23-10-1974,01-07-1996,,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,35,0,10,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
Dean Thomas,England,34,Free Transfer,0,0,,,,19-12-1961,01-07-1996,,0,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,70,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Thompson,England,27,Free Transfer,0,0,,,,20-11-1968,01-07-1996,,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,52,52,35,0,0,15,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Thompson,England,18,Free Transfer,0,0,,,,17-9-1977,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Thompson,England,23,Free Transfer,0,0,,,,17-4-1973,01-07-1996,,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,1,0,1,0,1,0,70,0,45,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
Simon Thompson,England,26,Free Transfer,0,0,,,,27-2-1970,01-07-1996,,0,0,50,50,0,0,0,0,50,50,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,50,0,25,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
Steve Thompson,England,33,Free Transfer,0,0,,,,12-1-1963,01-07-1996,,0,0,0,0,0,0,0,100,100,100,100,100,100,50,50,50,0,0,0,0,2,2,1,2,2,2,72,86,52,12,11,12,50,35,20,20,35,55,50,35,25,0,0,50,45,45,55,25,0,75,15,70,20,15
 Leõnidas,Brazil,21,Free Transfer,0,0,,,,23-2-1975,01-07-1996,,0,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,2,2,0,0,2,1,0,-1,0,0,0,0,85,0,0,65,0,85,0,0,0,80,0,0,75,0,0,0,0,0,0,0,0,0
Ian Thompstone,England,25,Free Transfer,0,0,,,,17-1-1971,01-07-1996,,0,50,50,0,0,0,0,50,50,0,50,50,0,0,0,0,0,0,1,0,1,1,0,1,0,1,80,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
